2014-12-29 09:44:47,666 INFO 1 dtxk.client.FrmLogIn - Program started
2014-12-29 09:44:53,659 DEBUG 1 dtxk.client.FrmLogIn - FrmLogin constuct finished.
2014-12-29 09:45:13,817 DEBUG 4 dtxk.business.Services.ServiceAppUser - GetAppUser started
2014-12-29 09:45:13,919 DEBUG 4 dtxk.business.Services.ServiceAppUser - GetAppUser username=admin trying to connect
2014-12-29 09:45:18,298 INFO 4 dtxk.business.Services.ServiceAppUser - GetAppUser username(admin) connected
2014-12-29 09:45:18,300 DEBUG 4 dtxk.business.Services.ServiceAppUser - GetAppUser finished
2014-12-29 09:45:26,893 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE started
2014-12-29 09:45:27,861 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE try to getting ALL CADASTRAL_ZONE 
2014-12-29 09:45:28,227 INFO 1 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE method got CADASTRAL_ZONE with successfully
2014-12-29 09:45:28,229 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE finished
2014-12-29 09:45:33,668 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_REGION started
2014-12-29 09:45:33,697 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_REGION try to getting ALL CADASTRAL_REGION 
2014-12-29 09:45:34,318 DEBUG 1 dtxk.business.BasicService - LoadAllCADASTRAL_REGION finished
2014-12-29 09:45:34,457 DEBUG 1 dtxk.business.BasicService - LoadAllECONOMIC_REGION started
2014-12-29 09:45:34,613 DEBUG 1 dtxk.business.BasicService - LoadAllECONOMIC_REGION try to getting ALL ECONOMIC_REGION 
2014-12-29 09:45:34,787 INFO 1 dtxk.business.BasicService - LoadAllECONOMIC_REGION method got ECONOMIC_REGION with successfully
2014-12-29 09:45:34,788 DEBUG 1 dtxk.business.BasicService - LoadAllECONOMIC_REGION finished
2014-12-29 09:45:35,795 DEBUG 1 dtxk.business.BasicService - LoadAllMUNICIPALITY started
2014-12-29 09:45:35,838 DEBUG 1 dtxk.business.BasicService - LoadAllMUNICIPALITY try to getting ALL MUNICIPALITY 
2014-12-29 09:45:36,316 INFO 1 dtxk.business.BasicService - LoadAllMUNICIPALITY method got MUNICIPALITY with successfully
2014-12-29 09:45:36,317 DEBUG 1 dtxk.business.BasicService - LoadAllMUNICIPALITY finished
2014-12-29 09:46:01,186 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT started
2014-12-29 09:46:01,308 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT try to getting ALL TERRITORIAL_UNIT 
2014-12-29 09:46:02,136 INFO 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT method got TERRITORIAL_UNIT with successfully
2014-12-29 09:46:02,137 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT finished
2014-12-29 09:46:03,258 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET started
2014-12-29 09:46:03,334 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET try to getting ALL STREET 
2014-12-29 09:46:03,474 INFO 1 dtxk.business.BasicService - LoadAllSTREET method got STREET with successfully
2014-12-29 09:46:03,476 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET finished
2014-12-29 09:46:03,479 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET started
2014-12-29 09:46:03,480 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET try to getting ALL STREET 
2014-12-29 09:46:03,483 INFO 1 dtxk.business.BasicService - LoadAllSTREET method got STREET with successfully
2014-12-29 09:46:03,485 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET finished
2014-12-29 09:46:08,410 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT_TYPE started
2014-12-29 09:46:08,426 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT_TYPE try to getting ALL TERRITORIAL_UNIT_TYPE 
2014-12-29 09:46:08,441 INFO 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT_TYPE method got TERRITORIAL_UNIT_TYPE with successfully
2014-12-29 09:46:08,442 DEBUG 1 dtxk.business.BasicService - LoadAllTERRITORIAL_UNIT_TYPE finished
2014-12-29 09:46:09,214 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET_TYPE started
2014-12-29 09:46:09,262 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET_TYPE try to getting ALL STREET_TYPE 
2014-12-29 09:46:09,275 INFO 1 dtxk.business.BasicService - LoadAllSTREET_TYPE method got STREET_TYPE with successfully
2014-12-29 09:46:09,276 DEBUG 1 dtxk.business.BasicService - LoadAllSTREET_TYPE finished
2014-12-29 09:46:10,172 DEBUG 1 dtxk.business.BasicService - LoadAllSERVITUDE_TYPE started
2014-12-29 09:46:10,192 DEBUG 1 dtxk.business.BasicService - LoadAllSERVITUDE_TYPE try to getting ALL SERVITUDE_TYPE 
2014-12-29 09:46:10,241 INFO 1 dtxk.business.BasicService - LoadAllSERVITUDE_TYPE method got SERVITUDE_TYPE with successfully
2014-12-29 09:46:10,242 DEBUG 1 dtxk.business.BasicService - LoadAllSERVITUDE_TYPE finished
2014-12-29 09:46:16,562 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE started
2014-12-29 09:46:16,662 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE try to getting ALL MECHANICAL_STRUCTURE 
2014-12-29 09:46:16,943 INFO 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE method got MECHANICAL_STRUCTURE with successfully
2014-12-29 09:46:16,945 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE finished
2014-12-29 09:46:23,281 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE started
2014-12-29 09:46:23,290 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE try to getting ALL MECHANICAL_STRUCTURE 
2014-12-29 09:46:23,296 INFO 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE method got MECHANICAL_STRUCTURE with successfully
2014-12-29 09:46:23,297 DEBUG 1 dtxk.business.BasicService - LoadAllMECHANICAL_STRUCTURE finished
2014-12-29 09:57:41,504 INFO 10 dtxk.client.FrmLogIn - Program started
2014-12-29 09:57:42,486 DEBUG 10 dtxk.client.FrmLogIn - FrmLogin constuct finished.
2014-12-29 09:58:10,329 DEBUG 6 dtxk.business.Services.ServiceAppUser - GetAppUser started
2014-12-29 09:58:10,331 DEBUG 6 dtxk.business.Services.ServiceAppUser - GetAppUser username=admin trying to connect
2014-12-29 09:58:11,441 INFO 6 dtxk.business.Services.ServiceAppUser - GetAppUser username(admin) connected
2014-12-29 09:58:11,442 DEBUG 6 dtxk.business.Services.ServiceAppUser - GetAppUser finished
2014-12-29 09:58:14,722 DEBUG 10 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE started
2014-12-29 09:58:14,738 DEBUG 10 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE try to getting ALL CADASTRAL_ZONE 
2014-12-29 09:58:14,774 INFO 10 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE method got CADASTRAL_ZONE with successfully
2014-12-29 09:58:14,775 DEBUG 10 dtxk.business.BasicService - LoadAllCADASTRAL_ZONE finished
2014-12-29 09:58:17,558 DEBUG 10 dtxk.business.BasicService - LoadAllECONOMIC_REGION started
2014-12-29 09:58:17,560 DEBUG 10 dtxk.business.BasicService - LoadAllECONOMIC_REGION try to getting ALL ECONOMIC_REGION 
2014-12-29 09:58:17,579 INFO 10 dtxk.business.BasicService - LoadAllECONOMIC_REGION method got ECONOMIC_REGION with successfully
2014-12-29 09:58:17,580 DEBUG 10 dtxk.business.BasicService - LoadAllECONOMIC_REGION finished
2014-12-29 09:58:18,097 DEBUG 10 dtxk.business.BasicService - LoadAllSTREET_TYPE started
2014-12-29 09:58:18,098 DEBUG 10 dtxk.business.BasicService - LoadAllSTREET_TYPE try to getting ALL STREET_TYPE 
2014-12-29 09:58:18,108 INFO 10 dtxk.business.BasicService - LoadAllSTREET_TYPE method got STREET_TYPE with successfully
